cdf,interval
0.0000,0.0000
20.9110,0.0010
30.0883,0.0100
43.0313,0.1000
48.5568,0.2000
51.7359,0.3000
53.8017,0.4000
55.6240,0.5000
57.3150,0.6000
60.6071,0.7000
63.9191,0.8000
69.6583,0.9000
70.6762,1.0000
80.6747,2.0000
83.4771,3.0000
84.9546,4.0000
85.9867,5.0000
86.9039,6.0000
87.5712,7.0000
88.1232,8.0000
88.7182,9.0000
89.1113,10.0000
89.5028,11.0000
89.8126,12.0000
90.0685,13.0000
90.3268,14.0000
90.5433,15.0000
90.7722,16.0000
90.9491,17.0000
91.1638,18.0000
91.3533,19.0000
91.5147,20.0000
92.8668,30.0000
93.8308,40.0000
94.3868,50.0000
94.8812,60.0000
95.3809,70.0000
95.6925,80.0000
95.9809,90.0000
97.5405,200.0000
98.2257,300.0000
98.7222,400.0000
98.9604,500.0000
99.5338,1000.0000
99.8798,2000.0000
99.9805,3000.0000
100.0000,4000.0000
