cdf,size
0.000,40.000
11.764,100.000
18.313,200.000
20.226,300.000
22.962,400.000
25.227,500.000
38.078,750.000
45.007,1000.000
60.776,1500.000
67.804,2000.000
73.134,3000.000
75.671,4000.000
77.236,5000.000
79.383,7500.000
80.833,10000.000
91.484,15000.000
92.942,20000.000
94.646,30000.000
95.637,40000.000
96.270,50000.000
97.850,100000.000
98.983,200000.000
99.379,300000.000
99.510,400000.000
99.606,500000.000
99.715,750000.000
99.979,10000000.000
99.993,20000000.000
99.996,50000000.000
100.000,180000000.000
